loan_id,reporting_date,product_type,origination_date,original_amount,outstanding_balance,credit_score_origination,credit_score_current,days_past_due,interest_rate,industry_sector,geography,pd_12m,pd_lifetime,lgd,ifrs9_stage,ecl_amount,ecl_rate,credit_band,vintage_year
LN0003090,2024-12-31,Mortgage,2023-02-23,593445.29,363693.62,608,587,60,5.3,N/A,North,0.28,0.84,0.2711,2,82821.77,22.7724,Very Poor (<600),2023
LN0002504,2024-12-31,SME Loan,2022-01-02,304737.21,117823.88,692,645,120,7.33,Healthcare,Central,0.52,1.0,0.5682,3,66947.53,56.82,Poor (600-649),2022
LN0000489,2024-12-31,SME Loan,2023-12-14,258390.66,196005.86,691,662,180,7.62,Construction,North,0.26,0.78,0.4014,3,61367.87,31.3092,Fair (650-699),2023
LN0003945,2024-12-31,Mortgage,2022-09-19,492609.5,237091.68,586,583,120,5.41,N/A,North,0.56,1.0,0.2328,3,55194.94,23.28,Very Poor (<600),2022
LN0004107,2024-12-31,SME Loan,2023-11-22,102568.53,76163.39,544,532,60,8.96,Healthcare,North,0.52,1.0,0.5551,2,42278.3,55.51,Very Poor (<600),2023
LN0004361,2024-12-31,Mortgage,2021-12-02,555542.65,199352.23,605,592,90,5.58,N/A,Central,0.28,0.84,0.2123,2,35550.88,17.8332,Very Poor (<600),2021
LN0001774,2024-12-31,SME Loan,2020-06-05,300338.7,89606.86,641,597,30,8.29,Manufacturing,South,0.26,0.78,0.4996,2,34918.72,38.9688,Very Poor (<600),2020
LN0002852,2024-12-31,Mortgage,2023-04-28,446533.06,284451.54,576,579,30,5.8,N/A,North,0.14,0.42,0.292,2,34885.14,12.264,Very Poor (<600),2023
LN0003517,2024-12-31,Mortgage,2023-05-06,342684.43,219010.15,556,539,180,5.94,N/A,Central,0.56,1.0,0.1587,3,34756.91,15.87,Very Poor (<600),2023
LN0002792,2024-12-31,SME Loan,2023-10-06,300606.39,211882.24,613,566,0,8.53,Healthcare,East,0.13,0.39,0.4011,2,33144.53,15.6429,Very Poor (<600),2023
LN0003477,2024-12-31,SME Loan,2023-04-20,120353.87,72967.54,585,611,120,8.51,Construction,East,0.52,1.0,0.4061,3,29632.12,40.61,Poor (600-649),2023
