loan_id,reporting_date,product_type,origination_date,original_amount,outstanding_balance,credit_score_origination,credit_score_current,days_past_due,interest_rate,industry_sector,geography,pd_12m,pd_lifetime,lgd,ifrs9_stage,ecl_amount,ecl_rate
LN0000001,2024-12-31,Personal Loan,2021-01-22,9803.13,2699.2,636,634,0,9.9,N/A,Central,0.06,0.18,0.5495,2,266.98,9.8911
LN0000002,2024-12-31,SME Loan,2021-01-02,51648.96,14376.96,742,780,0,7.53,Services,South,0.0065,0.0195,0.4383,1,40.96,0.2849
LN0000003,2024-12-31,Auto Loan,2022-09-09,14732.7,7602.17,717,752,0,6.57,N/A,North,0.0045,0.0135,0.3223,1,11.03,0.1451
LN0000004,2024-12-31,Personal Loan,2021-02-23,8803.55,2414.34,683,701,0,9.45,N/A,South,0.012,0.036,0.6406,1,18.56,0.7687
LN0000005,2024-12-31,Mortgage,2023-10-10,339956.43,243915.78,608,617,0,5.37,N/A,North,0.035,0.105,0.1528,2,3913.38,1.6044
LN0000006,2024-12-31,Mortgage,2020-10-10,188819.02,51841.6,641,657,30,5.29,N/A,South,0.035,0.105,0.1898,2,1033.15,1.9929
LN0000007,2024-12-31,Mortgage,2022-06-16,238254.92,105219.63,486,487,0,5.99,N/A,West,0.07,0.21,0.1549,2,3422.69,3.2529
LN0000008,2024-12-31,Credit Card,2022-04-23,6205.65,2715.36,699,697,60,18.5,N/A,South,0.15,0.45,0.7372,2,900.79,33.1739
LN0000009,2024-12-31,Auto Loan,2023-01-10,36617.29,19233.18,682,725,0,7.01,N/A,East,0.009,0.027,0.3443,1,59.6,0.3099
LN0000010,2024-12-31,Auto Loan,2021-10-08,19306.3,5990.19,695,742,0,6.76,N/A,North,0.009,0.027,0.3013,1,16.24,0.2711
LN0000011,2024-12-31,Mortgage,2022-03-26,441763.38,171104.97,720,716,0,4.28,N/A,South,0.007,0.021,0.2305,1,276.08,0.1614
LN0000012,2024-12-31,SME Loan,2022-10-16,217324.1,108364.97,711,718,0,7.98,Healthcare,North,0.013,0.039,0.5031,1,708.74,0.654
LN0000013,2024-12-31,Credit Card,2021-01-04,2793.57,741.32,671,674,0,17.92,N/A,East,0.0375,0.1125,0.6608,2,55.11,7.434
LN0000014,2024-12-31,Mortgage,2022-07-28,177740.8,84466.34,684,636,0,5.32,N/A,South,0.035,0.105,0.2206,2,1956.49,2.3163
LN0000015,2024-12-31,Mortgage,2023-08-12,486769.19,339076.72,568,558,0,5.74,N/A,Central,0.07,0.21,0.1746,2,12432.59,3.6666
LN0000016,2024-12-31,Mortgage,2023-06-24,249340.13,166806.06,633,681,30,5.25,N/A,South,0.035,0.105,0.2115,2,3704.35,2.2208
LN0000017,2024-12-31,Mortgage,2020-02-21,88442.78,24003.59,684,662,0,5.3,N/A,East,0.0175,0.0525,0.1626,1,68.3,0.2845
LN0000018,2024-12-31,Personal Loan,2022-12-20,5768.64,3384.96,621,685,0,9.76,N/A,Central,0.03,0.09,0.6079,1,61.73,1.8237
LN0000019,2024-12-31,Personal Loan,2022-05-31,11503.17,5131.13,749,784,0,8.56,N/A,East,0.006,0.018,0.6092,1,18.76,0.3656
LN0000020,2024-12-31,Mortgage,2022-07-16,150013.22,68325.1,627,639,0,5.17,N/A,East,0.035,0.105,0.2233,2,1601.98,2.3446
LN0000021,2024-12-31,Auto Loan,2020-05-25,25200.79,7373.73,697,714,0,6.54,N/A,North,0.009,0.027,0.2839,1,18.84,0.2555
LN0000022,2024-12-31,Mortgage,2021-03-05,272719.24,78500.69,689,662,0,4.67,N/A,West,0.0175,0.0525,0.1641,1,225.43,0.2872
LN0000023,2024-12-31,Mortgage,2020-06-16,557449.56,160945.38,740,732,0,4.51,N/A,East,0.007,0.021,0.2087,1,235.13,0.1461
LN0000024,2024-12-31,Personal Loan,2020-02-21,11223.08,2960.94,752,795,0,9.26,N/A,North,0.006,0.018,0.5686,1,10.1,0.3411
LN0000025,2024-12-31,Personal Loan,2023-10-01,25425.94,17457.65,736,717,0,9.08,N/A,North,0.012,0.036,0.686,1,143.71,0.8232
LN0000026,2024-12-31,Auto Loan,2022-07-22,52654.35,25982.04,512,543,0,7.67,N/A,East,0.09,0.27,0.3442,2,2414.61,9.2934
LN0000027,2024-12-31,Mortgage,2020-10-11,549714.78,152645.74,776,734,0,4.17,N/A,North,0.007,0.021,0.1938,1,207.08,0.1357
LN0000028,2024-12-31,Personal Loan,2022-11-23,15848.86,8646.84,802,766,0,8.78,N/A,West,0.006,0.018,0.6898,1,35.79,0.4139
LN0000029,2024-12-31,Personal Loan,2021-09-14,4113.49,1277.83,641,698,30,9.29,N/A,North,0.06,0.18,0.6278,2,144.4,11.3004
LN0000030,2024-12-31,Mortgage,2020-10-16,337868.63,98963.77,699,699,0,4.52,N/A,East,0.0175,0.0525,0.2509,1,434.53,0.4391
LN0000031,2024-12-31,Auto Loan,2021-07-27,45222.95,12267.94,609,593,0,7.46,N/A,North,0.09,0.27,0.2876,2,952.63,7.7652
LN0000032,2024-12-31,Mortgage,2020-06-20,257678.11,72380.85,524,565,0,5.47,N/A,East,0.07,0.21,0.1773,2,2694.96,3.7233
LN0000033,2024-12-31,Mortgage,2022-11-06,641966.84,314080.14,621,658,0,4.7,N/A,North,0.0175,0.0525,0.2479,1,1362.56,0.4338
LN0000034,2024-12-31,Credit Card,2022-09-17,7554.64,3857.92,637,664,0,18.41,N/A,East,0.0375,0.1125,0.7626,2,330.98,8.5792
LN0000035,2024-12-31,SME Loan,2021-07-23,146941.73,42545.24,652,635,0,8.13,Retail,Central,0.065,0.195,0.4969,2,4122.44,9.6895
LN0000036,2024-12-31,Credit Card,2022-07-04,8460.73,3578.71,603,595,0,19.05,N/A,West,0.15,0.45,0.6234,2,1003.94,28.0531
LN0000037,2024-12-31,Mortgage,2022-04-11,317008.84,134878.76,621,631,0,5.61,N/A,North,0.035,0.105,0.2137,2,3026.48,2.2439
LN0000038,2024-12-31,Mortgage,2021-02-28,77156.78,21114.81,679,700,0,5.1,N/A,East,0.007,0.021,0.2237,1,33.06,0.1566
LN0000039,2024-12-31,Auto Loan,2021-11-15,24351.4,7732.22,618,603,0,7.09,N/A,South,0.045,0.135,0.3395,2,354.39,4.5833
LN0000040,2024-12-31,Personal Loan,2023-01-03,27400.07,14898.35,723,729,0,8.93,N/A,Central,0.012,0.036,0.6462,1,115.53,0.7755
LN0000041,2024-12-31,Mortgage,2023-09-05,179190.42,115261.32,735,743,0,4.21,N/A,West,0.007,0.021,0.1671,1,134.82,0.117
LN0000042,2024-12-31,Personal Loan,2020-07-19,11683.31,3197.72,850,850,0,8.63,N/A,North,0.006,0.018,0.6658,1,12.77,0.3993
LN0000043,2024-12-31,Mortgage,2022-07-05,159146.72,71422.33,770,793,0,4.41,N/A,North,0.0035,0.0105,0.2707,1,67.67,0.0947
LN0000044,2024-12-31,Credit Card,2020-09-26,11991.6,3456.31,699,654,0,18.43,N/A,West,0.0375,0.1125,0.6318,2,245.67,7.1079
LN0000045,2024-12-31,Mortgage,2022-07-29,622031.63,305156.61,630,624,0,4.84,N/A,North,0.035,0.105,0.1668,2,5344.51,1.7514
LN0000046,2024-12-31,Auto Loan,2022-04-08,20878.02,8753.99,703,676,0,6.56,N/A,Central,0.0225,0.0675,0.3397,1,66.91,0.7643
LN0000047,2024-12-31,Mortgage,2021-05-14,288846.01,73950.62,706,723,0,4.51,N/A,Central,0.007,0.021,0.167,1,86.45,0.1169
LN0000048,2024-12-31,Personal Loan,2021-05-19,8881.3,2636.82,639,667,0,9.85,N/A,West,0.03,0.09,0.5721,1,45.26,1.7165
LN0000049,2024-12-31,Personal Loan,2021-08-02,19321.37,5656.58,743,746,0,8.71,N/A,North,0.012,0.036,0.6505,1,44.16,0.7807
LN0000050,2024-12-31,Mortgage,2021-11-13,346224.1,107899.75,568,560,30,5.52,N/A,East,0.14,0.42,0.1981,2,8977.47,8.3202
LN0000051,2024-12-31,SME Loan,2021-08-14,174240.86,53206.01,660,663,0,7.5,Manufacturing,South,0.0325,0.0975,0.4127,2,2140.92,4.0238
LN0000052,2024-12-31,Auto Loan,2022-08-04,33954.18,15272.53,724,731,0,6.68,N/A,West,0.009,0.027,0.3129,1,43.01,0.2816
LN0000053,2024-12-31,Credit Card,2021-06-08,21326.44,5994.12,657,638,0,18.03,N/A,South,0.075,0.225,0.7477,2,1008.41,16.8233
LN0000054,2024-12-31,Credit Card,2020-02-11,2939.63,811.33,663,627,0,18.11,N/A,South,0.075,0.225,0.6336,2,115.66,14.2556
